ASP
ActionScript
Ada
Arc
Arduino
Assembly
AutoHotkey
Boo
C#
C++
C
Clojure
CoffeeScript
ColdFusion
Common Lisp
D
Delphi
Dylan
Eiffel
Emacs Lisp
Erlang
F#
FORTRAN
Factor
Fancy
Fantom
Go
Gosu
Groovy
HaXe
Haskell
Io
Ioke
Java
JavaScript
Lua
Matlab
Max/MSP
Mirah
Modelica
Nemerle
Nimrod
Nu
OCaml
Objective-C
Objective-J
Opa
PHP
Parrot
Perl
Prolog
Puppet
Pure Data
Python
R
Racket
Rebol
Ruby
Rust
Scala
Scheme
Self
Shell
Smalltalk
Standard ML
SuperCollider
Tcl
Turing
VHDL
Vala
Verilog
VimL
Visual Basic
XQuery
ooc
